,household_id,person_id,survey_year,seattle_home,sample_county,hhsize,vehicle_count,hhincome_broad,hhincome_detailed,rent_own,numchildren,age,gender,employment,student,education,license,race_category,hh_race_category,commute_freq,prev_res_factors_housing_cost,prev_res_factors_income_change,prev_res_factors_community_chan,prev_res_factors_hh_size,prev_res_factors_more_space,prev_res_factors_less_space,prev_res_factors_employment,prev_res_factors_school,prev_res_factors_crime,prev_res_factors_quality,prev_res_factors_forced,prev_res_factors_no_answer,prev_res_factors_other,prev_res_factors_specify,res_factors_30min,res_factors_afford,res_factors_closefam,res_factors_hhchange,res_factors_hwy,res_factors_school,res_factors_space,res_factors_transit,res_factors_walk,home_fd,med_trav_time,pref_modes,diversity_food_cat,pct_fast_food,med_price,med_rating,rest_empl_pop,med_rest_inc,dist_from_home,rest:non_rest,nonrest_purp,meal
0,17101947,1710194701,2017,Home not in Seattle,King,1 person,1 vehicle,"$50,000-$74,999","$50,000-$74,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Very important,Somewhat unimportant,Very unimportant,Somewhat important,Somewhat important,Very important,Somewhat unimportant,Somewhat important,False,15.0,SOV,5.0,0.0,2.0,3.9,9145.0,122330.0,8.193207697314753,0.16666666666666666,Work,Lunch
1,17101949,1710194901,2017,Home in Seattle,King,2 people,2 vehicles,"$100,000 or more","$150,000-$199,999",Rent,0,55-64 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,Hispanic,5 days a week,,,,,,,,,,,,,,,Neither or N/A,Very important,Somewhat important,Neither or N/A,Neither or N/A,Neither or N/A,Neither or N/A,Very important,Very important,False,8.0,SOV,4.0,0.0,2.0,4.0,42270.0,60000.0,12.873291134431035,0.9523809523809523,Work,Breakfast
2,17101949,1710194902,2017,Home in Seattle,King,2 people,2 vehicles,"$100,000 or more","$150,000-$199,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",Hispanic,Hispanic,5 days a week,,,,,,,,,,,,,,,Neither or N/A,Very important,Somewhat important,Neither or N/A,Neither or N/A,Neither or N/A,Neither or N/A,Very important,Very important,False,15.0,HOV,6.0,0.16666666666666666,2.0,3.7,2040.0,104759.0,6.366100503056471,0.2033898305084746,Work,Dinner
3,17102061,1710206101,2017,Home not in Seattle,King,2 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,0,35-44 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,,,,,,,,,,,,,,,,Somewhat important,Very important,Somewhat important,Somewhat unimportant,Neither or N/A,Neither or N/A,Somewhat important,Very important,Very important,False,,,,,,,,,,,,
4,17102109,1710210901,2017,Home in Seattle,King,1 person,1 vehicle,"$75,000-$99,999","$75,000-$99,999",Own/paying mortgage,0,55-64 years,Female,Retired,"No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",Asian,Asian,,,,,,,,,,,,,,,,Neither or N/A,Somewhat important,Somewhat important,Neither or N/A,Very important,Neither or N/A,Somewhat important,Somewhat important,Very important,False,12.5,HOV,1.0,0.0,1.0,3.3,3873.0,98281.0,3.674402539154775,0.25,Home,Lunch
5,17102227,1710222701,2017,Home in Seattle,King,1 person,1 vehicle,"$25,000-$49,999","$35,000-$49,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,4 days a week,,,,,,,,,,,,,,,Very important,Very important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Very important,False,9.0,SOV,5.0,0.07692307692307693,1.0,4.0,3530.0,69409.0,3.578994524056728,0.3333333333333333,Social/Recreation,Dinner
6,17102252,1710225201,2017,Home in Seattle,King,1 person,0 (no vehicles),"Under $25,000","$10,000-$24,999",Rent,0,35-44 years,Male,"Employed part time (fewer than 35 hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,6-7 days a week,,,,,,,,,,,,,,,Very important,Very important,Neither or N/A,Somewhat important,Neither or N/A,Very unimportant,Neither or N/A,Somewhat important,Somewhat important,False,30.0,Walk,2.0,0.5,1.0,4.199999999999999,1894.0,81834.0,0.5853317002783344,1.0,Home,Other
7,17102269,1710226901,2017,Home in Seattle,King,2 people,2 vehicles,"$50,000-$74,999","$50,000-$74,999",Rent,0,35-44 years,Male,Self-employed,"No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,4 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Very unimportant,Somewhat important,Very unimportant,Somewhat important,Very important,Very important,False,10.5,SOV,4.0,0.0,2.0,3.95,760.5,104028.0,2.2763001677236447,0.21428571428571427,Home,Dinner
8,17102269,1710226902,2017,Home in Seattle,King,2 people,2 vehicles,"$50,000-$74,999","$50,000-$74,999",Rent,0,35-44 years,Female,Self-employed,"No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,4 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Very unimportant,Somewhat important,Very unimportant,Somewhat important,Very important,Very important,False,,,,,,,,,,,,
9,17102274,1710227402,2017,Home not in Seattle,King,2 people,2 vehicles,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,0,75-84 years,Female,Retired,"No, not a student",Associates degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,,,,,,,,,,,,,,,,Neither or N/A,Very important,Somewhat important,Neither or N/A,Neither or N/A,Very important,Very important,Neither or N/A,Very important,False,10.0,HOV,2.0,0.0,3.0,3.55,8381.0,49291.0,2.7234149835462564,1.0,Home,Other
