,person_id,pct_fast_food,med_price,med_rating,diversity_food_cat,travel_time,rest_nonrest_trips,mode,trip_purp,tod,rest_empl_pop,rest_inc,dist_from_home,home_fd,numchildren,veh_hh_ratio,age_1,age_2,age_3,age_4,age_5,male,female,gender_other,white,asian,hispanic,black,race_other,income_1,income_2,income_3,income_4,full_time,part_time,homemaker,unemployed
0,1710194701,0.0,2.0,3.9,5.0,15.0,0.1666666666666666,1,4,2,9145.0,122330.0,8.193207697314753,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,1710194901,0.0,2.0,4.0,4.0,8.0,0.9523809523809524,1,4,1,42270.0,60000.0,12.873291134431035,0,0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2,1710194902,0.1666666666666666,2.0,3.7,6.0,15.0,0.2033898305084746,5,4,4,2040.0,104759.0,6.366100503056471,0,0,1.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
4,1710210901,0.0,1.0,3.3,1.0,12.5,0.25,5,2,2,3873.0,98281.0,3.674402539154775,0,0,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5,1710222701,0.0769230769230769,1.0,4.0,5.0,9.0,0.3333333333333333,1,5,4,3530.0,69409.0,3.578994524056728,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6,1710225201,0.5,1.0,4.199999999999999,2.0,30.0,1.0,2,2,3,1894.0,81834.0,0.5853317002783344,0,0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7,1710226901,0.0,2.0,3.95,4.0,10.5,0.2142857142857142,1,2,4,760.5,104028.0,2.2763001677236447,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
9,1710227402,0.0,3.0,3.55,2.0,10.0,1.0,5,2,3,8381.0,49291.0,2.7234149835462564,0,0,1.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
11,1710228901,0.0,2.0,4.15,2.0,10.0,0.3333333333333333,5,2,2,3530.0,26413.0,1.3482330109851564,0,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
12,1710228904,0.0,1.5,4.35,2.0,10.0,0.5,5,2,2,3530.0,26413.0,1.3482330109851564,0,0,0.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
13,1710238701,0.0,2.0,4.35,1.0,5.0,0.25,5,3,3,387.5,134107.0,0.5730508289776719,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
15,1710239801,0.1,1.0,3.65,4.0,43.0,0.4347826086956521,5,5,4,3530.0,40938.0,6.457277198500709,0,0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
16,1710240801,0.3333333333333333,1.5,2.8,3.0,12.5,0.375,5,2,4,41682.0,92347.0,2.670051827984132,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
17,1710240802,0.4,1.0,3.2,5.0,9.0,0.2439024390243902,5,2,4,9791.0,82892.0,1.5677151149033024,0,0,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
18,1710244901,0.25,2.0,4.1,3.0,42.5,2.0,3,2,2,4176.0,92752.0,9.348503170550902,0,0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
19,1710050101,0.0,2.0,4.1,5.0,6.0,0.6,2,2,3,10073.0,94039.0,0.9084443736901296,0,0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
20,1710005201,0.0,1.0,4.1,1.0,30.0,0.6666666666666666,3,3,3,25133.5,94039.0,0.9681059412324932,0,0,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
21,1710005901,0.1875,2.0,3.8,6.0,6.0,0.9411764705882352,2,2,2,7778.0,69409.0,0.2123445182630881,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
22,1710013701,0.5,1.5,3.05,2.0,10.0,1.0,2,4,2,62565.0,82892.0,0.6412010314348475,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
24,1710166704,0.25,2.0,4.1,3.0,10.0,1.3333333333333333,1,4,2,5083.0,101117.0,9.837409934608631,0,0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,1710169201,0.0,2.0,3.3499999999999996,2.0,15.0,0.6666666666666666,5,2,4,1592.0,55143.0,2.8324823010248523,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26,1710169202,0.0,1.0,3.9,2.0,15.0,1.0,5,2,4,1592.0,55143.0,2.8324823010248523,0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
27,1710169702,0.0,2.0,2.5,2.0,7.5,1.0,2,4,2,12152.0,86810.0,3.451187976880441,0,2,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
30,1710174501,0.0,2.0,2.9,2.0,15.0,1.3333333333333333,5,3,2,3160.5,52941.0,7.747571351994834,0,1,0.6666666666666666,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
31,1710174502,0.0,2.0,2.9,1.0,15.0,0.6666666666666666,5,1,4,3212.5,64944.0,7.794641402457965,0,1,0.6666666666666666,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
33,1710185201,0.5,1.5,2.95,2.0,5.0,0.3333333333333333,5,2,3,4017.0,110956.0,0.253156292139534,0,2,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
34,1710185202,0.0,2.0,4.1,2.0,5.0,0.4,5,2,3,4017.0,110956.0,0.253156292139534,0,2,0.25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
35,1710185501,1.0,1.0,2.05,2.0,5.0,1.0,2,4,3,62565.0,82892.0,5.102374541445099,0,0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
39,1710094201,0.0,2.0,3.75,5.0,5.5,0.2580645161290322,2,2,2,32836.75,61915.0,0.577738271586977,0,0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
40,1710095701,0.0,3.0,3.8,4.0,10.0,0.8333333333333334,2,4,3,4470.0,67860.0,0.1629703284474648,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
41,1710095702,0.0,2.0,3.8,2.0,10.0,0.6,2,2,3,4470.0,67860.0,0.0483484426771266,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
